Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,med_household_income,total_pop,race_white,race_black,race_native,race_asian,race_pi,other_race,mixed_race,workers_over16,commute_car,drive_alone,commute_carpool,public_transport,commute_motorcyle,commute_bicycle,commute_walk,commute_other,commute_wfh,avg_commute_min,pop_density,area_land
06037135111,14000US06037135111,Census Tract 1351.11,"Census Tract 1351.11, Los Angeles County, California",ca,140,00,ACSSF,0004166,06,037,135111,100911,3496,2172,110,0,931,77,128,78,1708,1403,1287,116,36,0,0,31,40,198,28,8825.066,0.396144306
06037135113,14000US06037135113,Census Tract 1351.13,"Census Tract 1351.13, Los Angeles County, California",ca,140,00,ACSSF,0004167,06,037,135113,75833,3268,1900,239,9,452,42,313,313,1715,1437,1321,116,50,0,28,39,0,161,23,13151.19,0.248494588
06037135114,14000US06037135114,Census Tract 1351.14,"Census Tract 1351.14, Los Angeles County, California",ca,140,00,ACSSF,0004168,06,037,135114,60101,5019,3046,189,18,1521,0,117,128,2497,1985,1794,191,146,0,34,201,0,131,26,10273.34,0.488546279
06037135201,14000US06037135201,Census Tract 1352.01,"Census Tract 1352.01, Los Angeles County, California",ca,140,00,ACSSF,0004169,06,037,135201,107407,2900,1859,277,5,496,3,146,114,1467,1219,1102,117,79,18,0,46,0,105,31,4904.499,0.591293859
06037135202,14000US06037135202,Census Tract 1352.02,"Census Tract 1352.02, Los Angeles County, California",ca,140,00,ACSSF,0004170,06,037,135202,108500,4597,3201,140,33,723,0,291,209,1979,1756,1611,145,55,0,0,18,25,125,31,6754.847,0.680548327
06037135203,14000US06037135203,Census Tract 1352.03,"Census Tract 1352.03, Los Angeles County, California",ca,140,00,ACSSF,0004171,06,037,135203,115519,7674,5745,165,0,1400,0,59,305,3749,3165,2759,406,17,0,47,10,0,510,37,4415.403,1.738006508
06037137000,14000US06037137000,Census Tract 1370,"Census Tract 1370, Los Angeles County, California",ca,140,00,ACSSF,0004172,06,037,137000,115402,4992,4028,306,24,320,6,74,234,2204,1881,1748,133,28,0,0,7,18,270,35,4301.433,1.160543601
06037137103,14000US06037137103,Census Tract 1371.03,"Census Tract 1371.03, Los Angeles County, California",ca,140,00,ACSSF,0004173,06,037,137103,76906,5311,3997,256,22,945,0,62,29,3058,2651,2572,79,127,0,0,223,0,57,28,18106.04,0.293327614
06037137104,14000US06037137104,Census Tract 1371.04,"Census Tract 1371.04, Los Angeles County, California",ca,140,00,ACSSF,0004174,06,037,137104,103799,2889,2402,62,0,189,0,56,180,1386,1184,1107,77,38,0,48,11,0,105,46,2917.421,0.990258256
06037137201,14000US06037137201,Census Tract 1372.01,"Census Tract 1372.01, Los Angeles County, California",ca,140,00,ACSSF,0004175,06,037,137201,75988,6063,3824,285,0,644,0,1053,257,2788,2051,1847,204,103,0,19,292,16,307,35,7887.666,0.768668426
06037137301,14000US06037137301,Census Tract 1373.01,"Census Tract 1373.01, Los Angeles County, California",ca,140,00,ACSSF,0004176,06,037,137301,152188,2354,1888,89,1,181,0,38,157,1220,1079,1017,62,11,0,0,0,8,122,34,3807.374,0.618273907
06037137302,14000US06037137302,Census Tract 1373.02,"Census Tract 1373.02, Los Angeles County, California",ca,140,00,ACSSF,0004177,06,037,137302,134971,4406,3655,53,0,467,18,30,183,1936,1770,1591,179,0,0,0,0,9,157,32,4663.681,0.944747234
06037137401,14000US06037137401,Census Tract 1374.01,"Census Tract 1374.01, Los Angeles County, California",ca,140,00,ACSSF,0004178,06,037,137401,109821,4403,3518,198,97,415,0,6,169,2180,1774,1648,126,5,5,12,91,19,274,36,4826.329,0.912287624
06037137402,14000US06037137402,Census Tract 1374.02,"Census Tract 1374.02, Los Angeles County, California",ca,140,00,ACSSF,0004179,06,037,137402,100781,4887,4439,151,0,233,0,51,13,2018,1673,1443,230,53,0,0,0,22,270,36,4106.499,1.190064973
06037137501,14000US06037137501,Census Tract 1375.01,"Census Tract 1375.01, Los Angeles County, California",ca,140,00,ACSSF,0004180,06,037,137501,85089,4516,3421,343,7,277,0,275,193,2287,1966,1832,134,76,0,11,1,7,226,36,4651.734,0.970820714
06037137502,14000US06037137502,Census Tract 1375.02,"Census Tract 1375.02, Los Angeles County, California",ca,140,00,ACSSF,0004181,06,037,137502,99836,4823,3352,553,28,272,0,283,335,2372,2145,1993,152,0,0,0,8,0,219,32,5976.165,0.80703926
